State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.725,3.952,4.176,4.252,U.S Dollar,US Gallon,2023-03-22
Alaska,AK,Fairbanks,3.761,3.935,4.148,4.862,U.S Dollar,US Gallon,2023-03-22
Alaska,AK,Juneau,4.338,4.263,4.512,4.552,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Anniston-Oxford,3.021,3.359,3.667,4.025,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Auburn,3.042,3.411,3.755,3.968,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Birmingham,3.042,3.439,3.82,4.095,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Daphne-Fairhope-Foley,3.137,3.524,3.903,4.012,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Decatur,3.017,3.399,3.795,4.009,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Dothan,3.107,3.498,3.862,4.06,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Florence-Muscle Shoals,3.087,3.465,3.836,3.982,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Gadsden,2.962,3.318,3.741,4.101,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Huntsville,3.062,3.422,3.793,4.086,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Mobile,3.128,3.571,3.927,4.112,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Montgomery,3.105,3.527,3.905,4.124,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Russell County,3.08,3.464,3.762,4.118,U.S Dollar,US Gallon,2023-03-22
Alabama,AL,Tuscaloosa,3.055,3.454,3.847,4.02,U.S Dollar,US Gallon,2023-03-22
Arkansas,AR,Fayetteville-Springdale-Rogers,3.031,3.371,3.641,3.787,U.S Dollar,US Gallon,2023-03-22
Arkansas,AR,Fort Smith (AR only),3.012,3.387,3.709,3.877,U.S Dollar,US Gallon,2023-03-22
