State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.662,4.854,5.049,5.109,U.S Dollar,US Gallon,2022-04-16
Alabama,AL,3.827,4.202,4.539,4.889,U.S Dollar,US Gallon,2022-04-16
Arkansas,AR,3.696,4.023,4.32,4.741,U.S Dollar,US Gallon,2022-04-16
Arizona,AZ,4.569,4.872,5.122,5.02,U.S Dollar,US Gallon,2022-04-16
California,CA,5.708,5.921,6.054,6.312,U.S Dollar,US Gallon,2022-04-16
Colorado,CO,3.949,4.283,4.581,4.889,U.S Dollar,US Gallon,2022-04-16
Connecticut,CT,3.896,4.263,4.498,5.077,U.S Dollar,US Gallon,2022-04-16
District of Columbia,DC,4.21,4.728,4.862,5.199,U.S Dollar,US Gallon,2022-04-16
Delaware,DE,3.906,4.36,4.618,4.926,U.S Dollar,US Gallon,2022-04-16
Florida,FL,4.004,4.407,4.718,5.03,U.S Dollar,US Gallon,2022-04-16
Georgia,GA,3.709,4.11,4.454,4.758,U.S Dollar,US Gallon,2022-04-16
Hawaii,HI,5.233,5.457,5.698,5.702,U.S Dollar,US Gallon,2022-04-16
Iowa,IA,3.796,3.949,4.363,4.745,U.S Dollar,US Gallon,2022-04-16
Idaho,ID,4.402,4.617,4.816,5.159,U.S Dollar,US Gallon,2022-04-16
Illinois,IL,4.346,4.722,5.116,4.901,U.S Dollar,US Gallon,2022-04-16
Indiana,IN,3.926,4.298,4.626,4.912,U.S Dollar,US Gallon,2022-04-16
Kansas,KS,3.661,3.914,4.195,4.695,U.S Dollar,US Gallon,2022-04-16
Kentucky,KY,3.804,4.173,4.5,4.92,U.S Dollar,US Gallon,2022-04-16
Louisiana,LA,3.858,4.197,4.51,4.825,U.S Dollar,US Gallon,2022-04-16
Massachusetts,MA,4.072,4.444,4.669,5.097,U.S Dollar,US Gallon,2022-04-16
Maryland,MD,3.687,4.17,4.437,4.596,U.S Dollar,US Gallon,2022-04-16
Maine,ME,4.067,4.413,4.695,5.169,U.S Dollar,US Gallon,2022-04-16
Michigan,MI,3.906,4.26,4.607,4.889,U.S Dollar,US Gallon,2022-04-16
Minnesota,MN,3.825,4.085,4.422,4.868,U.S Dollar,US Gallon,2022-04-16
Missouri,MO,3.658,3.93,4.219,4.674,U.S Dollar,US Gallon,2022-04-16
Mississippi,MS,3.778,4.109,4.436,4.812,U.S Dollar,US Gallon,2022-04-16
Montana,MT,4.04,4.303,4.569,5.035,U.S Dollar,US Gallon,2022-04-16
North Carolina,NC,3.826,4.216,4.578,4.94,U.S Dollar,US Gallon,2022-04-16
North Dakota,ND,3.841,4.08,4.357,4.811,U.S Dollar,US Gallon,2022-04-16
Nebraska,NE,3.804,3.894,4.299,4.748,U.S Dollar,US Gallon,2022-04-16
New Hampshire,NH,4,4.396,4.671,5.053,U.S Dollar,US Gallon,2022-04-16
New Jersey,NJ,4.045,4.491,4.676,5.16,U.S Dollar,US Gallon,2022-04-16
New Mexico,NM,4.041,4.348,4.61,4.959,U.S Dollar,US Gallon,2022-04-16
Nevada,NV,5.077,5.326,5.503,5.261,U.S Dollar,US Gallon,2022-04-16
New York,NY,4.189,4.53,4.77,5.247,U.S Dollar,US Gallon,2022-04-16
Ohio,OH,3.784,4.146,4.494,4.927,U.S Dollar,US Gallon,2022-04-16
Oklahoma,OK,3.715,4.007,4.222,4.698,U.S Dollar,US Gallon,2022-04-16
Oregon,OR,4.651,4.848,5.043,5.358,U.S Dollar,US Gallon,2022-04-16
Pennsylvania,PA,4.164,4.538,4.822,5.335,U.S Dollar,US Gallon,2022-04-16
Rhode Island,RI,3.996,4.401,4.66,5.018,U.S Dollar,US Gallon,2022-04-16
South Carolina,SC,3.735,4.113,4.455,4.85,U.S Dollar,US Gallon,2022-04-16
South Dakota,SD,3.843,3.984,4.326,4.794,U.S Dollar,US Gallon,2022-04-16
Tennessee,TN,3.85,4.224,4.566,4.906,U.S Dollar,US Gallon,2022-04-16
Texas,TX,3.711,4.06,4.365,4.731,U.S Dollar,US Gallon,2022-04-16
Utah,UT,4.485,4.699,4.89,5.15,U.S Dollar,US Gallon,2022-04-16
Virginia,VA,3.933,4.371,4.688,4.947,U.S Dollar,US Gallon,2022-04-16
Vermont,VT,4.065,4.474,4.712,5.084,U.S Dollar,US Gallon,2022-04-16
Washington,WA,4.666,4.897,5.08,5.485,U.S Dollar,US Gallon,2022-04-16
Wisconsin,WI,3.781,4.141,4.533,4.746,U.S Dollar,US Gallon,2022-04-16
West Virginia,WV,3.958,4.263,4.553,4.968,U.S Dollar,US Gallon,2022-04-16
Wyoming,WY,4.08,4.299,4.559,5.041,U.S Dollar,US Gallon,2022-04-16
